user_id,item_id
0,7128
0,1447
0,4713
0,1267
0,3144
0,21
0,1365
0,1983
0,7413
0,8906
0,8275
0,740
0,4980
0,3598
0,7036
1,7
1,2447
1,556
1,551
1,6621
1,2389
1,3825
1,3069
1,1070
1,5477
1,2114
1,6988
1,3590
1,6570
1,2128
2,5401
2,203
2,6752
2,3006
2,7721
2,8877
2,4273
2,4090
2,6369
2,5871
2,5918
2,2484
2,6731
2,4632
2,5157
3,2434
3,6990
3,1993
3,3800
3,2554
3,211
3,1546
3,3009
3,5271
3,2620
3,1328
3,2615
3,7303
3,2184
3,3782
4,3059
4,1745
4,4237
4,862
4,3237
4,1239
4,924
4,4882
4,3442
4,8633
4,1367
4,5805
4,993
4,5556
4,1102
5,5364
5,5344
5,2959
5,2474
5,8297
5,7484
5,1913
5,6608
5,5778
5,3572
5,5359
5,2507
5,4241
5,3270
5,375
6,354
6,2272
6,8933
6,405
6,1789
6,1082
6,338
6,8641
6,282
6,6156
6,6685
6,3097
6,3396
6,4653
6,1699
7,5248
7,6629
7,2940
7,5955
7,7444
7,6850
7,4898
7,5243
7,1522
7,4125
7,1215
7,7872
7,4735
7,416
7,3186
8,1594
8,1535
8,2730
8,7907
8,1750
8,1591
8,2471
8,2786
8,6699
8,8605
8,3537
8,8000
8,6900
8,4439
8,7928
9,4890
9,6974
9,3958
9,1396
9,8653
9,1042
9,7157
9,3331
9,1067
9,7158
9,7574
9,2497
9,6870
9,5956
9,8238
10,172
10,1058
10,824
10,6297
10,3722
10,7214
10,8326
10,5406
10,2395
10,7866
10,2350
10,249
10,8329
10,659
10,8275
11,5460
11,183
11,1383
11,4921
11,2752
11,6272
11,4632
11,2148
11,8631
11,1622
11,1815
11,2030
11,8391
11,7272
11,8392
12,2957
12,5039
12,4034
12,5241
12,8611
12,816
12,4109
12,1963
12,6836
12,3987
12,2689
12,7337
12,1234
12,6107
12,5626
13,2309
13,469
13,4927
13,6273
13,5057
13,5931
13,510
13,6080
13,1018
13,1758
13,8660
13,7138
13,379
13,6096
13,1618
14,386
14,2580
14,479
14,7741
14,2465
14,8208
14,5112
14,5527
14,3946
14,778
14,7165
14,221
14,4768
14,6399
14,4462
15,824
15,3889
15,785
15,2019
15,5747
15,3146
15,6088
15,7747
15,4118
15,6524
15,7913
15,3559
15,8674
15,7003
15,8124
16,4989
16,1809
16,2501
16,8133
16,4109
16,5697
16,4200
16,6100
16,7227
16,3006
16,8709
16,7173
16,7256
16,4514
16,4687
17,1909
17,3080
17,7651
17,8580
17,5369
17,806
17,2122
17,5854
17,1750
17,6250
17,7900
17,5057
17,4757
17,2183
17,7267
18,4246
18,8166
18,4581
18,2672
18,5916
18,784
18,6235
18,92
18,668
18,6575
18,779
18,1138
18,7882
18,2340
18,2508
19,3990
19,964
19,5567
19,3983
19,4615
19,6188
19,5285
19,2497
19,6392
19,6581
19,7858
19,636
19,840
19,6998
19,7777
20,6968
20,2513
20,5064
20,2616
20,7512
20,5620
20,6993
20,5302
20,6878
20,4718
20,361
20,3572
20,6170
20,4236
20,1566
21,886
21,1523
21,4642
21,2323
21,5899
21,6441
21,2580
21,1117
21,3913
21,5926
21,739
21,807
21,8669
21,8175
21,4995
22,3941
22,900
22,6448
22,5089
22,4708
22,2436
22,7395
22,2362
22,5405
22,5960
22,6816
22,4569
22,3274
22,2295
22,2181
23,4995
23,646
23,730
23,7154
23,7392
23,1076
23,4543
23,7952
23,3141
23,1024
23,4197
23,3737
23,8730
23,3308
23,4523
24,6031
24,8333
24,278
24,1035
24,265
24,7471
24,2902
24,3726
24,3485
24,3174
24,2462
24,4244
24,4857
24,6712
24,8223
25,4868
25,4843
25,1917
25,5380
25,3323
25,8705
25,6899
25,363
25,4903
25,7645
25,3022
25,3287
25,4471
25,289
25,924
26,5692
26,5578
26,8025
26,345
26,5825
26,3551
26,2650
26,8629
26,2989
26,3001
26,2017
26,2028
26,3844
26,7167
26,1156
27,4188
27,5262
27,3779
27,418
27,5013
27,1481
27,6190
27,386
27,3789
27,6761
27,7929
27,3844
27,5192
27,2078
27,5210
28,214
28,510
28,268
28,3349
28,6613
28,4859
28,7154
28,6440
28,844
28,153
28,8661
28,8492
28,1018
28,8002
28,2857
29,5428
29,2382
29,1414
29,7401
29,5280
29,5550
29,5001
29,485
29,3671
29,3596
29,2887
29,8637
29,8388
29,3219
29,2052
30,1803
30,5217
30,6314
30,4143
30,1042
30,6373
30,6249
30,5359
30,7903
30,6682
30,442
30,7123
30,3166
30,5231
30,7354
31,3532
31,685
31,2309
31,6630
31,7649
31,3796
31,4922
31,5217
31,204
31,5989
31,1916
31,1997
31,1203
31,7539
31,1478
32,426
32,2467
32,2088
32,1985
32,2501
32,2491
32,6959
32,5399
32,4423
32,1920
32,63
32,3113
32,3770
32,1431
32,8565
33,365
33,3882
33,3434
33,4366
33,7602
33,3431
33,1061
33,2741
33,1506
33,667
33,7484
33,6705
33,6766
33,7681
33,4600
34,720
34,2058
34,1253
34,4510
34,2959
34,2537
34,5958
34,6833
34,3124
34,8538
34,2955
34,2293
34,5048
34,4458
34,6113
35,4673
35,53
35,6272
35,146
35,7737
35,8396
35,5003
35,3584
35,5297
35,2393
35,580
35,645
35,3268
35,5454
35,2288
36,2018
36,3795
36,8375
36,860
36,4366
36,6886
36,7444
36,8307
36,1375
36,6644
36,5866
36,6649
36,1127
36,2024
36,4420
37,4227
37,4948
37,2194
37,7670
37,5460
37,6056
37,190
37,2835
37,2693
37,6919
37,480
37,6599
37,1414
37,4590
37,8942
38,1523
38,2405
38,2667
38,4358
38,1725
38,2552
38,5746
38,540
38,854
38,671
38,3770
38,7001
38,6641
38,1946
38,8591
39,841
39,2189
39,1582
39,418
39,4923
39,179
39,4745
39,8774
39,5125
39,5550
39,3345
39,8587
39,2606
39,3280
39,5445
40,3953
40,1344
40,4172
40,5930
40,5364
40,958
40,4493
40,3503
40,751
40,1513
40,258
40,8331
40,4248
40,980
40,5130
41,5114
41,812
41,5123
41,2058
41,3983
41,5595
41,3862
41,2945
41,815
41,3538
41,1524
41,5607
41,2624
41,4093
41,3741
42,6680
42,1337
42,5310
42,7662
42,967
42,2363
42,3757
42,8706
42,6825
42,7422
42,6376
42,8772
42,1120
42,6457
42,6587
43,3989
43,5204
43,2560
43,1401
43,7713
43,1128
43,6809
